Brand,Model No,Discription,Category,Vehical Application,Features,Price,Intallation Video (Youtube Link),Other Information,Disclaimer,Downloads
TOYOTA,FA-TY02/CYT,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Innova Crysta,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,3822,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/INN,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Innova 2012- before Crysta (For OEM Radio with Touch Screen),1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,867,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/OCM,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota  Camry 2004-2001,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,3766,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/NCM,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota  Camry 2012-2016,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,9333,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04/ALS,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota  Altis 2008-2016,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,2264,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/YRS,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Yaris 2018+,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,3930,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03LH/PD,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Prado 2004-2012,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,3037,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/PDN,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Prado 2013+ & Applicable for Selected Models,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,19466,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/LC,Car Stereo Installation Facia Kit,AUDIO INSTALLATION KIT,Toyota Land Crusier,1. 2DIN Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 2DIN Radio. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,7731,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/1DP,1 Din Pocket,AUDIO INSTALLATION KIT,Universal,1. 1DIN Pocket (Coin Box) to install 1DIN Radio in 2Din Panel Radio Provision. 2. Suitable Pocket replaces the factory dash panel/radio and provides the space for a modern 1DIN Radio in 2DIN Panel. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,230,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/1DP-DW,Special 1 Din Pocket with Drawer,AUDIO INSTALLATION KIT,Universal,1. 1DIN Pocket (Coin Box) to install 1DIN Radio in 2Din Panel Radio Provision. 2. Suitable Pocket replaces the factory dash panel/radio and provides the space for a modern 1DIN Radio in 2DIN Panel. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,939,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/1DP-COV,Special 1 Din Pocket with Cover,AUDIO INSTALLATION KIT,Universal,1. 1DIN Pocket (Coin Box) to install 1DIN Radio in 2Din Panel Radio Provision. 2. Suitable Pocket replaces the factory dash panel/radio and provides the space for a modern 1DIN Radio in 2DIN Panel. 3. No custom fabrication work is required. 4. Provide the brackets as per requirement either metal or plastic (Some Panel doesn’t required). 5. Painted scratch resistant matched with Car Interior.,801,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY01/INN-BKT,Metal Bracket,AUDIO INSTALLATION KIT,Toyota Innova,1. Metal Bracket suitable for fitting of OEM radio as well as aftermarket radio. 2. Perfect Fitting. 3. No custom fabrication work is required.,4602,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,Motor Parts,Metal Bracket,AUDIO INSTALLATION KIT,Toyota Fortuner,1. Metal Bkt suitable for fitting of OEM radio as well as after market radio. 2. Perfect Fitting. 3. No custom fabrication work is required.,4602,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,SR-UNI/E,Speaker Ring Universal,AUDIO INSTALLATION KIT,Universal,1. Universal Speaker Ring. 2. Suitable Ring to install speaker at factory provision space.  3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,112,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,SR-UNI,Speaker Ring Universal High Quality,AUDIO INSTALLATION KIT,Universal,1. Universal Speaker Ring but fix like Customised ring. 2. Suitable Ring to install speaker at factory provision space.  3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,500,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,SR-UNI/SL,Speaker Ring Silicon base,AUDIO INSTALLATION KIT,Universal,1. Universal Silicon base Speaker Ring. 2. Suitable Ring to install speaker at factory provision space.  3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1000,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,SR-TO/CM,Speaker Ring,AUDIO INSTALLATION KIT,Toyota Camry,1. Customised Speaker Ring. 2. Suitable Ring to install speaker at factory provision space.  3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1237,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,SR-TO,Speaker Ring,AUDIO INSTALLATION KIT,Toyta Innova Fortuner,1. Customised Speaker Ring. 2. Suitable Ring to install speaker at factory provision space.  3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,784,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-TY03/AL,System Harness Converts OEM Harness to aftermarket radio connection.,HARNESS & ANTENNA PIN,Toyota All Model,1. This harness is required when replacing your factory fitted radio with an aftermarket radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new radio. 5. All wires used pure copper.,234,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-TY01/28P,Harness Converts OEM Connection to aftermarket radio connection for Steering Wheel Control,HARNESS & ANTENNA PIN,Toyota New 28pin SWC,1. This harness is required when replacing your factory fitted radio with an aftermarket radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new radio. 5. All wires used pure copper.,214,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-TY01/20P,Harness Converts OEM Connection to aftermarket radio connection for Steering Wheel Control,HARNESS & ANTENNA PIN,Toyota New 20pin SWC,1. This harness is required when replacing your factory fitted radio with an aftermarket radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new radio. 5. All wires used pure copper.,215,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-SWC3.5,SWC 3.5MM,HARNESS & ANTENNA PIN,Universal for All Car,1. This harness is required when replacing your factory fitted radio with an aftermarket radio. 2. 3.5mm Lead connect to aftermarket Radio and the other end to steering wires in the Car. 3. All wires used pure copper.,106,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,OH-TY05/ETS-SP,Rear Speaker Output,HARNESS & ANTENNA PIN,Toyota Etios,1. This harness required when upgrades OEM radio with installing after market Rear Speakers which is not giving by OEM. 2. Plug and play no cutting of wires required. 3. This harness is required when upgrading or installing aftermarket speakers in car. 4. Converts OEM Harness To Standard Aftermarket Speaker Connectors. 5. All wires used pure copper.,98,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,SH-TY05/AL,Speaker Harness,HARNESS & ANTENNA PIN,Toyota All Model,1. Plug and play no cutting of wires required. 2. This harness is required when upgrading or installing aftermarket speakers in car. 3. Converts OEM Harness To Standard Aftermarket Speaker Connectors. 4. All wires used pure copper.,88,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AT-TY03/AL,Antenna Pin for Aftermarket Radio to connect OEM Antenna Connector,HARNESS & ANTENNA PIN,Toyota All Model,1. This Antenna Pin is required when replacing your factory fitted radio with an aftermarket radio. 2. Plug and play no cutting of original car wires required. 3.Converts car specific antenna connector to a universal aftermarket connector. 4. Simply plug one end of the adapter into your cars connector and the pin into your new radio.,251,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AT-TY01/AL-AMP,Antenna Pin with amplified filter,HARNESS & ANTENNA PIN,Toyota All Model,1. This Antenna Pin is required when replacing your factory fitted radio with an aftermarket radio and need more clear FM Frequency then the reguler. 2. Plug and play no cutting of original car wires required. 3.Connect between car specific after market antenna pin and the after market radio. 4. Simply plug one end of the adapter into your cars connector and the pin into your new radio.,868,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AT-TY02/AL-FM,Female Antenna Pin,HARNESS & ANTENNA PIN,Toyota All Model,1. This Antenna Pin is required when install OEM radio in other variant or Model. 2. Plug and play no cutting of original car wires required. 3. Converts OEM radio antenna connector to a universal connector. 4. Simply plug one end of the adapter into your OEM Radio and the other end into your car.,380,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AU-TY04/U/OE,OEM Place USB Retention Cable,USB AUX & BT,Applicable for Selected Models,1. Plug and play no cutting of wires required. 2. Allows the retention of the OEM USB socket situated at original place. 3. Maintain the originality of the car while changing OEM radio with aftermarket radio. ,718,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AU-TY04/U/LH,OEM USB Connector use for OEM radio of the car want to fix in its basic Models or other car,USB AUX & BT,Applicable for Selected Models,1. Plug and play no cutting of wires required. 2. Allow to use original USB port of the OEM radio while installing the radio in to same Brand basic variant car or in to the other brand car Models.,718,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,OP-01HDTY/BT/LL,USB/BT/AUX/SD Adapter ,USB AUX & BT,Applicable for Selected Models,1. Plug and play no cutting of wires required. 2. Connect with OEM radio to activate USB/BT/AUX/SD via interface box. 3. Activate useful functions in OEM radio. 4. Cost effective as 1 interface 4 utility.,10493,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,AU-TY08/A,AUX Retention Cable,USB AUX & BT,Toyota Old Models,1. Plug and play no cutting of wires required. 2. Connect with OEM radio to activate Aux option.,718,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-ALT/N,OEM type fitting Rear Camera,OEM TYPE CAR CAMERAS,Toyota Altis 20141516 & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 120°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,2228,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-ALT/140/N,OEM type fitting Rear Camera with Angle 140,OEM TYPE CAR CAMERAS,Toyota Altis 20141516 & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 140°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,2384,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-ALT/170,OEM type fitting Rear Camera with Angle 170,OEM TYPE CAR CAMERAS,Toyota Altis 20141516 & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 170°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,3657,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-ALT/180,OEM type fitting Rear Camera with Angle 180,OEM TYPE CAR CAMERAS,Toyota Altis 20141516 & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 180°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,5841,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-ALT/GUD/N,OEM type fitting Rear Camera with Artificial Moving Guideline,OEM TYPE CAR CAMERAS,Toyota Altis 20141516 & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. Camera with Artificial Moving Guideline as Guideline moves with the movement of the car. 3. No need to drill bumper or screw near number plat.  4. Fitting with good finishing. 5. Angle with 120°. 6. Connection Video RCA. 7. Power Supply 12V DC. 8. Operating Voltage: DC 5-15V. 9. 580 TV Lines and 704 x 576 Effective Pixels. 10. Enhanced Performance In Low Light. 11. Operating Temp.    -40 to +85 (°C). 12. BBB 0 Format - PAL NTSC. 13. Effective Pixel - PAL:38W NTSC:30W. 14. 1/4 COLOR CMOS,3860,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-INV/N,OEM type fitting Rear Camera,OEM TYPE CAR CAMERAS,Toyota Innova Old & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 120°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,2228,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-INV/140/N,OEM type fitting Rear Camera with Angle 140,OEM TYPE CAR CAMERAS,Toyota Innova Old & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 140°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,2384,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-INV/170,OEM type fitting Rear Camera with Angle 170,OEM TYPE CAR CAMERAS,Toyota Innova Old & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 170°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,3657,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-INV/180,OEM type fitting Rear Camera with Angle 180,OEM TYPE CAR CAMERAS,Toyota Innova Old & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. No need to drill bumper or screw near number plat.  3. Fitting with good finishing. 4. Angle with 180°. 5. Connection Video RCA. 6. Power Supply 12V DC. 7. Operating Voltage: DC 5-15V. 8. 580 TV Lines and 704 x 576 Effective Pixels. 9. Enhanced Performance In Low Light. 10. Operating Temp.    -40 to +85 (°C). 11. BBB 0 Format - PAL NTSC. 12. Effective Pixel - PAL:38W NTSC:30W. 13. 1/4 COLOR CMOS,5841,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CAM-TY-INV/GUD/N,OEM type fitting Rear Camera with Artificial Moving Guideline,OEM TYPE CAR CAMERAS,Toyota Innova Old & Applicable for Selected Models,1. Reverse camera with OEM type fitting attachments. 2. Camera with Artificial Moving Guideline as Guideline moves with the movement of the car. 3. No need to drill bumper or screw near number plat.  4. Fitting with good finishing. 5. Angle with 120°. 6. Connection Video RCA. 7. Power Supply 12V DC. 8. Operating Voltage: DC 5-15V. 9. 580 TV Lines and 704 x 576 Effective Pixels. 10. Enhanced Performance In Low Light. 11. Operating Temp.    -40 to +85 (°C). 12. BBB 0 Format - PAL NTSC. 13. Effective Pixel - PAL:38W NTSC:30W. 14. 1/4 COLOR CMOS,3860,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
